British Royal Air Force,German Luftwaffe,Italian Regia Aeronautica,United States Army Air Force
Marshal of the RAF,Generalfeldmarschall,N/A,General of the Army *
Air Chief Marshal,Generaloberst,Generale di armata aerea,General
Air Marshal,"General der Flieger
 General der Flieger
 General der Fallschirmtruppe
 General der Luftnachrichtentruppe
 General der Flakartillerie
 General der Luftwaffe",Generale di squadra aerea,Lieutenant General
Air Vice-Marshal,Generalleutnant,Generale di divisione aerea,Major General
Air Commodore,Generalmajor,Generale di brigata aerea,Brigadier General
Group Captain,Oberst,Colonnello,Colonel
Wing Commander,Oberstleutnant,Tenente Colonnello,Lieutenant Colonel
Squadron Leader,Major,Maggiore,Major
Flight Lieutenant,Hauptmann,Capitano,Captain
Flying Officer,Oberleutnant,Tenente,First Lieutenant
Pilot Officer,Leutnant,Sottotenente,Second Lieutenant
Warrant Officer,Stabfeldwebel,Maresciallo di prima classe,Master Sergeant
Acting Pilot Officer,Oberfähnrich,Maresciallo di seconda classe,Flight Cadet
Flight Sergeant,Oberfeldwebel,Maresciallo di terza classe,Technical Sergeant
Sergeant,Feldwebel,Sergente maggiore,Staff Sergeant
Officer Cadet,Fähnrich,N/A,Flight Cadet
Corporal,Unterfeldwebel,N/A,Sergeant
Officer Cadet,Fahnenjunker,Sergente,Flight Cadet
Corporal,Unteroffizier,N/A,Corporal
Senior Aircraftman,"Hauptgefreiter until 1944
 Stabsgefreiter from 1944",Primo Aviere,Private First Class
Leading Aircraftman,Obergefreiter,Aviere Scello,N/A
Aircraftman First Class,Gefreiter,N/A,N/A
Aircraftman Second Class,Flieger,Aviere,Private
