name,class,country,year
A (Planned),No Classification,Germany,
A (Planned),No Classification,Germany,
ABSD-1,No Classification,United States,
ABSD-2,No Classification,United States,
Abukuma,Nagara-class Light Cruiser,Japan,1923
Acasta,A and B-class Destroyer,United Kingdom,1929
Acavus,Rapana-class Merchant Vessel,United Kingdom,
Activity,Activity-class Escort Carrier,United Kingdom,1942
Adelaide,Town-class Light Cruiser,Australia,1918
Admiral Graf Spee,Deutschland-class Heavy Cruiser,Germany,1934
Admiral Hipper,Admiral Hipper-class Heavy Cruiser,Germany,1937
Admiral Scheer,Deutschland-class Heavy Cruiser,Germany,1933
Adolf Lüderitz,Carl Peters-class Tender,Germany,1939
Adula,Rapana-class Merchant Vessel,United Kingdom,
Agano,Agano-class Light Cruiser,Japan,1941
Akagi,Akagi-class Aircraft Carrier,Japan,1925
Akashi,Akashi-class Repair Ship,Japan,1938
Alabama,South Dakota-class Battleship,United States,1942
Alaska,Alaska-class Large Cruiser,United States,1943
Albacore,Gato-class Submarine,United States,1942
Albatros,1923-class Motor Torpedo Boat,Germany,1926
Albatross,No Classification,United Kingdom,
Albert Leo Schlageter,Gorch Fock-class Barque,Germany,1937
Albert W. Grant,Fletcher-class Destroyer,United States,1943
Alessandro Malaspina,Marconi-class Submarine,Italy,
Alfredo Oriani,Oriani-class Destroyer,Italy,
Algérie,Algérie-class Heavy Cruiser,France,1932
Alpino Bagnolini,Liuzzi-class Submarine,Italy,
Alpino,Soldati-class Destroyer,Italy,
Altmark,Dithmarschen-class Auxiliary,Germany,1937
Amagi,Unryu-class Aircraft Carrier,Japan,1943
Amagiri,Fubuki-class Destroyer,Japan,1930
Amberjack,Gato-class Submarine,United States,
Ambra,Perla-class Submarine,Italy,
Ameer,Ruler-class Escort Carrier,United Kingdom,1942
Ancon,No Classification,United States,1938
Ancylus,Rapana-class Merchant Vessel,United Kingdom,1935
Angler,Gato-class Submarine,United States,
Anson,King George V (1939)-class Battleship,United Kingdom,
Anticosti,Isles-class Trawler,Canada,1942
Antoine Saugrain,Liberty-class Merchant Vessel,United States,1943
Anzio,Casablanca-class Escort Carrier,United States,1943
Aoba,Furutaka-class Heavy Cruiser,Japan,1926
Apogon,Balao-class Submarine,United States,1943
Arashio,Asashio-class Destroyer,Japan,
Arbiter,Ruler-class Escort Carrier,United Kingdom,1943
Archer,Archer-class Escort Carrier,United Kingdom,
Archerfish,Balao-class Submarine,United States,1943
Argonaut (Argonaut-class),Argonaut-class Submarine,United States,
Argonaut (Tench-class),Tench-class Submarine,United States,
Argus,Argus-class Aircraft Carrier,United Kingdom,1917
Arisan Maru,No Classification,Japan,
Arizona,Pennsylvania-class Battleship,United States,1915
Ark Royal,Ark Royal-class Aircraft Carrier,United Kingdom,1937
Armidale,Bathurst-class Corvette,Australia,1942
Artigliere,Soldati-class Destroyer,Italy,
Asagumo,Asashio-class Destroyer,Japan,
Asama Maru,No Classification,Japan,1928
Ascari,Soldati-class Destroyer,Italy,1938
Ashigara,Myoko-class Heavy Cruiser,Japan,1928
Aspro,Balao-class Submarine,United States,
Astoria (Cleveland-class),Cleveland-class Light Cruiser,United States,
Astoria (New Orleans-class),New Orleans-class Heavy Cruiser,United States,1933
Atago,Takao-class Heavy Cruiser,Japan,1930
Atlanta,Atlanta-class Light Cruiser,United States,1941
Atlantis,No Classification,Germany,1937
Atule,Balao-class Submarine,United States,
Augusta,Northampton-class Heavy Cruiser,United States,1930
Austin,Evarts-class Destroyer Escort,United States,1942
Australia,County-class Heavy Cruiser,Australia,1927
Aviere,Soldati-class Destroyer,Italy,1937
Awa Maru,No Classification,Japan,1942
B (Planned),Graf Zeppelin-class Aircraft Carrier,Germany,"1940 (Projected, not actual)"
B (Planned),No Classification,Germany,
Bailey,Benson-class Destroyer,United States,1941
Balao,Balao-class Submarine,United States,
Baltimore,Baltimore-class Heavy Cruiser,United States,1942
Bang,Balao-class Submarine,United States,
Barb,Gato-class Submarine,United States,
Barbarigo,Marcello-class Submarine,Italy,
Barbel,Balao-class Submarine,United States,
Barbero,Balao-class Submarine,United States,1943
Barham,Queen Elizabeth-class Battleship,United Kingdom,1914
Bashaw,Gato-class Submarine,United States,
Bataan (Independence-class),Independence-class Light Carrier,United States,1943
Bataan (Tribal-class),Tribal-class Destroyer,Australia,1944
Batfish,Balao-class Submarine,United States,
Baya,Balao-class Submarine,United States,1944
Becuna,Balao-class Submarine,United States,1944
Belfast,Town-class Light Cruiser,United Kingdom,1938
Bell,Fletcher-class Destroyer,United States,1942
Belleau Wood,Independence-class Light Carrier,United States,1942
Bennington,Essex-class Aircraft Carrier,United States,1944
Bergall,Balao-class Submarine,United States,1944
Bersagliere,Soldati-class Destroyer,Italy,1938
Besugo,Balao-class Submarine,United States,
Billfish,Balao-class Submarine,United States,
Birmingham,Town-class Light Cruiser,United Kingdom,1936
Biscayne,Barnegat-class Seaplane Tender,United States,1941
Bismarck,Bismarck-class Battleship,Germany,1939
Blackfin,Balao-class Submarine,United States,1944
Blackfish,Gato-class Submarine,United States,
Blenny,Balao-class Submarine,United States,1944
Blower,Balao-class Submarine,United States,
Blueback,Balao-class Submarine,United States,
Bluefish,Gato-class Submarine,United States,1943
Bluegill,Gato-class Submarine,United States,
Blücher,Admiral Hipper-class Heavy Cruiser,Germany,1937
Boarfish,Balao-class Submarine,United States,1944
Bogue,Bogue-class Escort Carrier,United States,1941
Boise,Brooklyn-class Light Cruiser,United States,
Bolzano,Trento-class Heavy Cruiser,Italy,1932
Bombardiere,Soldati-class Destroyer,Italy,
Bonefish,Gato-class Submarine,United States,
Boston,Baltimore-class Heavy Cruiser,United States,
Bowfin,Balao-class Submarine,United States,1942
Bream,Gato-class Submarine,United States,
Bremse,No Classification,Germany,1932
Bretagne,Bretagne-class Battleship,France,1913
Brill,Balao-class Submarine,United States,1944
Brummer,No Classification,Germany,1935
Bugara,Balao-class Submarine,United States,1944
Bullhead,Balao-class Submarine,United States,
Bumper,Balao-class Submarine,United States,
Bunker Hill,Essex-class Aircraft Carrier,United States,1942
Burrfish,Balao-class Submarine,United States,
Burza,Wicher-class Destroyer,Poland,1929
Bussard,No Classification,Germany,
Béarn,Béarn-class Aircraft Carrier,France,
Błyskawica,Grom-class Destroyer,Poland,1936
C (Planned),Graf Zeppelin-class Aircraft Carrier,Germany,"1945 (Projected, not actual)"
C (Planned),No Classification,Germany,
Cabezon,Balao-class Submarine,United States,
Cabot,Independence-class Light Carrier,United States,1943
Cabrilla,Balao-class Submarine,United States,1942
Cachalot (Cachalot-class),Cachalot-class Submarine,United States,1933
Cachalot (Grampus-class),Grampus-class Minelaying Submarine,United Kingdom,1937
Caiman,Balao-class Submarine,United States,1944
California,Tennessee-class Battleship,United States,
Camicia Nera,Soldati-class Destroyer,Italy,1937
Canberra (Baltimore-class),Baltimore-class Heavy Cruiser,United States,1943
Canberra (County-class),County-class Heavy Cruiser,Australia,
Canfield,Evarts-class Destroyer Escort,United States,1943
Canopus,No Classification,United States,
Capelin,Balao-class Submarine,United States,
Capitaine,Balao-class Submarine,United States,1944
Capitano Tarantini,Liuzzi-class Submarine,Italy,1940
Carabiniere,Soldati-class Destroyer,Italy,1938
Carbonero,Balao-class Submarine,United States,1944
Card,Bogue-class Escort Carrier,United States,1942
Carl Peters,Carl Peters-class Tender,Germany,1939
Carl Zeiss,No Classification,Germany,1938
Carp,Balao-class Submarine,United States,
Casabianca,Redoubtable-class Submarine,France,1935
Casablanca,Casablanca-class Escort Carrier,United States,1943
Cassin Young,Fletcher-class Destroyer,United States,1943
Cavalla,Gato-class Submarine,United States,
Centurion,King George V (1911)-class Battleship,United Kingdom,1911
Cero,Gato-class Submarine,United States,1943
Chariot-class Summary Information,Chariot-class Midget Submarine,United Kingdom,
Charles J. Badger,Fletcher-class Destroyer,United States,1943
Charr,Balao-class Submarine,United States,1944
Chester,Northampton-class Heavy Cruiser,United States,1929
Chicago,Northampton-class Heavy Cruiser,United States,1930
Chikuma,Tone-class Heavy Cruiser,Japan,1938
Chitose,Chitose-class Light Carrier,Japan,1936
Chiyoda,Chitose-class Light Carrier,Japan,1936
Chokai,Takao-class Heavy Cruiser,Japan,1931
Chub,Balao-class Submarine,United States,1944
Chuyo,Taiyo-class Escort Carrier,Japan,1939
Cisco,Balao-class Submarine,United States,1942
Cobia,Gato-class Submarine,United States,
Cochino,Balao-class Submarine,United States,
Cod,Gato-class Submarine,United States,1943
Colbert,Suffren-class Heavy Cruiser,France,1928
Colorado,Colorado-class Battleship,United States,1921
Colossus,Colossus-class Light Carrier,United Kingdom,1943
Columbia,Cleveland-class Light Cruiser,United States,1941
Comandante Cappellini,Marcello-class Submarine,Italy,
Comandante Faà di Bruno,Marcello-class Submarine,Italy,
Concord,Omaha-class Light Cruiser,United States,1921
Console Generale Liuzzi,Liuzzi-class Submarine,Italy,1939
Conte di Cavour,Conte di Cavour-class Battleship,Italy,1911
Copahee,Bogue-class Escort Carrier,United States,1941
Corazziere,Soldati-class Destroyer,Italy,1938
Cornwall,County-class Heavy Cruiser,United Kingdom,1926
Coronel,No Classification,Germany,1938
Corregidor,Casablanca-class Escort Carrier,United States,1943
Corsaro,Soldati-class Destroyer,Italy,
Corvina,Gato-class Submarine,United States,1943
Cossack,Tribal-class Destroyer,United Kingdom,1937
Cotten,Fletcher-class Destroyer,United States,1943
Courageous,Courageous-class Aircraft Carrier,United Kingdom,
Cowpens,Independence-class Light Carrier,United States,1943
Craven,Gridley-class Destroyer,United States,1937
Crevalle,Balao-class Submarine,United States,
Croaker,Gato-class Submarine,United States,1943
Cumberland,County-class Heavy Cruiser,United Kingdom,1926
Cummings,Mahan-class Destroyer,United States,1935
Cuttlefish,Cachalot-class Submarine,United States,1933
D (Planned),Graf Zeppelin-class Aircraft Carrier,Germany,"1947 (Projected, not actual)"
D (Planned),No Classification,Germany,
Dace,Gato-class Submarine,United States,
Daihatsu-class Summary Information,Daihatsu-class Landing Craft,Japan,
Daly,Fletcher-class Destroyer,United States,1942
Danae,Danae-class Light Cruiser,United Kingdom,1918
Dandolo,Marcello-class Submarine,Italy,
Darter,Gato-class Submarine,United States,
De Grasse,De Grasse-class Light Cruiser,France,1946
Delhi,Danae-class Light Cruiser,United Kingdom,1918
Dentuda,Balao-class Submarine,United States,
Denver,Cleveland-class Light Cruiser,United States,1942
Detroit,Omaha-class Light Cruiser,United States,1922
Deutschland,Deutschland-class Heavy Cruiser,Germany,1931
Devilfish,Balao-class Submarine,United States,
Devonshire,County-class Heavy Cruiser,United Kingdom,1927
Dianthus,Flower-class Corvette,United Kingdom,1940
Dithmarschen,Dithmarschen-class Auxiliary,Germany,1937
Doherty,Evarts-class Destroyer Escort,United States,1942
Dolphin,Dolphin-class Submarine,United States,
Doneff,Evarts-class Destroyer Escort,United States,1942
Dorado,Gato-class Submarine,United States,1943
Dorsetshire,County-class Heavy Cruiser,United Kingdom,1929
Dragon,Danae-class Light Cruiser,United Kingdom,1917
Dragonet,Balao-class Submarine,United States,1943
Drayton,Mahan-class Destroyer,United States,1936
Drum,Gato-class Submarine,United States,1941
Duguay-Trouin,Duguay-Trouin-class Light Cruiser,France,1923
Duke of York,King George V (1939)-class Battleship,United Kingdom,
Dunkerque,Dunkerque-class Battleship,France,1935
Dupleix,Suffren-class Heavy Cruiser,France,1930
Duquesne,Duquesne-class Heavy Cruiser,France,1925
E (Planned),No Classification,Germany,
Eagle,Eagle-class Aircraft Carrier,United Kingdom,1918
Edinburgh,Town-class Light Cruiser,United Kingdom,1938
Effingham,Hawkins-class Heavy Cruiser,United Kingdom,1921
Ellet,Benham-class Destroyer,United States,1938
Elli,Zhaohe-class Protected Cruiser,Greece,1913
Emden,Emden-class Light Cruiser,Germany,1925
Emo,Marcello-class Submarine,Italy,
Engstrom,Evarts-class Destroyer Escort,United States,1942
Enterprise,Yorktown-class Aircraft Carrier,United States,1936
Ermland,Dithmarschen-class Auxiliary,Germany,
Erwin Wassner,No Classification,Germany,1938
Escolar,Balao-class Submarine,United States,1943
Essex,Essex-class Aircraft Carrier,United States,1942
Exeter,York-class Heavy Cruiser,United Kingdom,1928
Express,E-class Destroyer,United Kingdom,1934
F (Planned),No Classification,Germany,
F1,F-class Destroyer Escort,Germany,1935
F10,F-class Destroyer Escort,Germany,1936
F2,F-class Destroyer Escort,Germany,1935
F3,F-class Destroyer Escort,Germany,1935
F4,F-class Destroyer Escort,Germany,1935
F5,F-class Destroyer Escort,Germany,1935
F6,F-class Destroyer Escort,Germany,1935
F7,F-class Destroyer Escort,Germany,1936
F8,F-class Destroyer Escort,Germany,1936
F9,F-class Destroyer Escort,Germany,1936
Fairmile D-class Summary Information,Fairmile D-class Motor Torpedo Boat,United Kingdom,
Falke,1923-class Motor Torpedo Boat,Germany,1926
Falke,No Classification,Germany,1940
Farragut,Farragut-class Destroyer,United States,1934
Fieberling,Buckley-class Destroyer Escort,United States,1944
Finback,Gato-class Submarine,United States,1941
Fiume,Zara-class Heavy Cruiser,Italy,
Flasher,Gato-class Submarine,United States,
Flier,Gato-class Submarine,United States,1943
Flounder,Gato-class Submarine,United States,
Flying Fish,Gato-class Submarine,United States,1941
Foch,Suffren-class Heavy Cruiser,France,1929
Formidable,Illustrious-class Aircraft Carrier,United Kingdom,1939
Fox,Clemson-class Destroyer,United States,1919
Franken,Dithmarschen-class Auxiliary,Germany,1939
Franklin,Essex-class Aircraft Carrier,United States,1943
Friesenland,No Classification,Germany,1937
Fuciliere,Soldati-class Destroyer,Italy,1938
Furious,Courageous-class Aircraft Carrier,United Kingdom,1916
Furutaka,Furutaka-class Heavy Cruiser,Japan,1925
Fuso,Fuso-class Battleship,Japan,1914
G,No Classification,Germany,1939
G (Planned),No Classification,Germany,
G1,G-class Destroyer Escort,Germany,
G2,G-class Destroyer Escort,Germany,
G3,G-class Destroyer Escort,Germany,
G4 (Planned),G-class Destroyer Escort,Germany,
Gabilan,Gato-class Submarine,United States,1943
Gar,Tambor-class Submarine,United States,1940
Garland,G-class Destroyer,Poland,1935
Gato,Gato-class Submarine,United States,
Geniere,Soldati-class Destroyer,Italy,1938
George Washington Carver,Liberty-class Merchant Vessel,United States,1943
Georges Leygues,La Galissonnière-class Light Cruiser,France,1936
Gilmore,Evarts-class Destroyer Escort,United States,1942
Giosuè Carducci,Oriani-class Destroyer,Italy,
Giulio Cesare,Conte di Cavour-class Battleship,Italy,1911
Glasgow,Town-class Light Cruiser,United Kingdom,1936
Gloire,La Galissonnière-class Light Cruiser,France,1935
Glorious,Courageous-class Aircraft Carrier,United Kingdom,1916
Glory,Colossus-class Light Carrier,United Kingdom,1943
Gneisenau,Gneisenau-class Battlecruiser,Germany,1936
Golet,Gato-class Submarine,United States,1943
Gorch Fock,Gorch Fock-class Barque,Germany,1933
Gorizia,Zara-class Heavy Cruiser,Italy,1930
Graf Zeppelin,Graf Zeppelin-class Aircraft Carrier,Germany,1938
Grampus,Tambor-class Submarine,United States,1940
Granatiere,Soldati-class Destroyer,Italy,1938
Graph,Type VII-class Submarine,United Kingdom,
Grayback,Tambor-class Submarine,United States,1941
Grayling,Tambor-class Submarine,United States,
Grayson,Gleaves-class Destroyer,United States,1940
Greenling,Gato-class Submarine,United States,
Greif,1923-class Motor Torpedo Boat,Germany,1926
Greif,No Classification,Germany,
Grenadier,Tambor-class Submarine,United States,
Gridley,Gridley-class Destroyer,United States,1936
Grille,No Classification,Germany,1934
Grom,Grom-class Destroyer,Poland,1936
Grouper,Gato-class Submarine,United States,
Growler,Gato-class Submarine,United States,1941
Grunion,Gato-class Submarine,United States,1941
Guam,Alaska-class Large Cruiser,United States,1943
Guardfish,Gato-class Submarine,United States,
Guavina,Balao-class Submarine,United States,1943
Gudgeon,Tambor-class Submarine,United States,
Guglielmo Marconi,Marconi-class Submarine,Italy,1939
Guitarro,Gato-class Submarine,United States,1943
Gulland,Isles-class Trawler,United Kingdom,1943
Gunnel,Gato-class Submarine,United States,1942
Gurnard,Gato-class Submarine,United States,
H,H-class Battleship,Germany,
H (Planned),No Classification,Germany,
H (Planned),No Classification,Germany,
Ha-101,Type SS-class Submarine,Japan,1944
Ha-102,Type SS-class Submarine,Japan,1944
Ha-104,Type SS-class Submarine,Japan,1944
Ha-19,Type A-class Midget Submarine,Japan,
Hackleback,Balao-class Submarine,United States,1943
Haddo,Gato-class Submarine,United States,
Haddock,Gato-class Submarine,United States,1941
Haguro,Myoko-class Heavy Cruiser,Japan,1928
Haichen,Hairong-class Protected Cruiser,China,
Haichou,Hairong-class Protected Cruiser,China,1897
Haiqi,Haitien-class Protected Cruiser,China,
Hairong,Hairong-class Protected Cruiser,China,1897
Hake,Gato-class Submarine,United States,
Hakusan Maru,No Classification,Japan,1918
Halibut,Gato-class Submarine,United States,
Hamakaze,Kagero-class Destroyer,Japan,
Hamilton,Wickes-class Destroyer,United States,1919
Hammann,Sims-class Destroyer,United States,1939
Hammerhead,Balao-class Submarine,United States,1943
Hancock,Essex-class Aircraft Carrier,United States,1944
Hans Albrecht Wedel,Hans Albrecht Wedel-class Seaplane Tender,Germany,1940
Harder,Gato-class Submarine,United States,1942
Hardhead,Balao-class Submarine,United States,
Haruna,Kongo-class Battleship,Japan,1913
Hatsuzakura,Tachibana-class Destroyer,Japan,
Havelland,Dithmarschen-class Auxiliary,Germany,
Hawkbill,Balao-class Submarine,United States,1944
Hela,Hela-class Tender,Germany,1938
Helena (Baltimore-class),Baltimore-class Heavy Cruiser,United States,
Helena (St. Louis-class),St. Louis-class Light Cruiser,United States,1939
Helm,Bagley-class Destroyer,United States,1937
Henley,Bagley-class Destroyer,United States,1937
Herbert Norkus,Gorch Fock-class Barque,Germany,1939
Hermann Köhl,Hans Albrecht Wedel-class Seaplane Tender,Germany,
Hermes,Hermes-class Light Carrier,United Kingdom,1919
Herring,Gato-class Submarine,United States,
Hiei,Kongo-class Battleship,Japan,1912
Hikawa Maru,No Classification,Japan,1929
Hiryu,Soryu-class Aircraft Carrier,Japan,1937
Hiyo,Hiyo-class Escort Carrier,Japan,1941
Hobart,Leander-class Light Cruiser,Australia,
Hobbs Victory,Victory-class Merchant Vessel,United States,1945
Hoe,Gato-class Submarine,United States,1942
Hoel,Fletcher-class Destroyer,United States,1942
Holland,Holland-class Submarine Tender,United States,1926
Honolulu,Brooklyn-class Light Cruiser,United States,
Hood,Admiral-class Battlecruiser,United Kingdom,1918
Hornet (Essex-class),Essex-class Aircraft Carrier,United States,1943
Hornet (Yorktown-class),Yorktown-class Aircraft Carrier,United States,1940
Horst Wessel,Gorch Fock-class Barque,Germany,1936
Hosho,Hosho-class Light Carrier,Japan,1921
Houston,Northampton-class Heavy Cruiser,United States,1929
Howe,King George V (1939)-class Battleship,United Kingdom,1940
Hulbert,Clemson-class Destroyer,United States,1919
Hull,Farragut-class Destroyer,United States,1934
Hyuga,Ise-class Battleship,Japan,1917
I-14,Type AM-class Submarine,Japan,1944
I-369,Type D1-class Submarine,Japan,1944
I-400,I-400-class Submarine,Japan,
I-401,I-400-class Submarine,Japan,
I-402,I-400-class Submarine,Japan,
I-52,C3-class Submarine,Japan,
I-53,C3-class Submarine,Japan,
I-58,Type B3-class Submarine,Japan,1943
I-58/I-158,Kaidai-class Submarine,Japan,1925
I-68/I-168,Kaidai-class Submarine,Japan,1933
Ibuki,Ibuki-class Light Carrier,Japan,1943
Icefish,Balao-class Submarine,United States,
Ikazuchi,Akatsuki-class Destroyer,Japan,1932
Illinois,Iowa-class Battleship,United States,
Illustrious,Illustrious-class Aircraft Carrier,United Kingdom,1939
Ilmarinen,Väinämöinen-class Coastal Defense Ship,Finland,1931
Iltis,1924-class Motor Torpedo Boat,Germany,1927
Impero,Vittorio Veneto-class Battleship,Italy,1939
Independence,Independence-class Light Carrier,United States,1942
Indiana,South Dakota-class Battleship,United States,1941
Indianapolis,Portland-class Heavy Cruiser,United States,1931
Indomitable,Illustrious-class Aircraft Carrier,United Kingdom,1940
Intrepid,Essex-class Aircraft Carrier,United States,1943
Iowa,Iowa-class Battleship,United States,1942
Irako,No Classification,Japan,1941
Iride,Perla-class Submarine,Italy,1936
Irwin,Fletcher-class Destroyer,United States,1943
Isaac Sweers,Gerard Callenburgh-class Destroyer,Netherlands,1940
Ise,Ise-class Battleship,Japan,1916
Isherwood,Fletcher-class Destroyer,United States,1942
Isuzu,Nagara-class Light Cruiser,Japan,1921
Itsukushima,No Classification,Japan,1929
Iwate,Izumo-class Armored Cruiser,Japan,1900
Izumo,Izumo-class Armored Cruiser,Japan,1898
J,H-class Battleship,Germany,
Jack,Gato-class Submarine,United States,
